question;answer
Cary Grant;/image/185df58a-f634-4274-940c-0ef0596c3674.jpg
Spencer Tracy;/image/ceb370a4-35f4-4131-b738-feddbc52544c.jpg
Humphrey Bogart;/image/233f7a24-08b0-4720-af73-f507933800ff.jpg
Marlon Brando;/image/ef239b3e-cb37-4b7d-84e2-d8a3832213cc.jpg
James Stewart;/image/bbf5ad8c-1331-4e50-96f5-071995c9e6fa.jpg
Kirk Douglas;/image/3ae53f56-d9df-44af-a3ad-a6e5aca9d730.jpg
Jack Lemmon;/image/50e87105-e543-483a-893b-c94281a0efb5.jpg
Henry Fonda;/image/4e90ab16-58e5-4a1d-84d4-19e091bc6a54.jpg
