question;answer
/image/75276040-cecc-40b6-8d5c-bff07bce3f9f.jpg;Jack Lemmon
/image/9b54b36e-3ebf-429b-927e-c9a7a0a06917.jpg;Humphrey Bogart
/image/e165eb15-7cf5-4245-a489-be75799cf7f4.jpg;Marlon Brando
/image/451b0d90-e8d0-40cd-baae-111ba22b3490.jpg;Cary Grant
/image/a341856b-22ce-44ab-8a55-7a2062f10dd7.jpg;Spencer Tracy
/image/cd815aa0-49b1-41bb-9f61-a4913514729c.jpg;Henry Fonda
/image/f9bfe070-9ac0-4c40-a6fa-b638402e791a.jpg;James Stewart
/image/dc1c34c7-5958-4cbd-9858-43f7bddb759f.jpg;Kirk Douglas
